Size,InsertionIter,InsertionRecur,QuickIter,QuickRecur,MergeIter,MergeRecur
200,0.000012,0.000016,0.000052,0.000061,0.000007,0.000009
500,0.000063,0.000099,0.000211,0.000224,0.000021,0.000023
1000,0.000311,0.000461,0.001312,0.001973,0.000047,0.000053
2000,0.002848,0.002281,0.006702,0.005556,0.000099,0.000115
3500,0.007109,0.008824,0.015454,0.016464,0.000181,0.000228
5000,0.015019,0.019089,0.060775,0.037478,0.000300,0.000327
10000,0.069804,0.087148,0.137409,0.153387,0.000583,0.000699
20000,0.384229,0.510014,0.713784,0.673111,0.001380,0.001544
30000,1.333522,1.557723,4.146979,2.026055,0.002282,0.002572
40000,2.688434,3.028694,4.908467,4.290691,0.003297,0.003536
43000,3.298802,3.652294,6.538093,5.414586,0.003533,0.003806

